Year,Cases,Race
2010,263,Asian/Pacific Islander
2010,352,Black
2010,97,Native American
2010,167,Other
2010,12631,Unknown
2010,16648,White
2011,275,Asian/Pacific Islander
2011,331,Black
2011,94,Native American
2011,899,Other
2011,13771,Unknown
2011,17727,White
2012,305,Asian/Pacific Islander
2012,323,Black
2012,102,Native American
2012,943,Other
2012,11356,Unknown
2012,17802,White
2013,366,Asian/Pacific Islander
2013,315,Black
2013,144,Native American
2013,995,Other
2013,12210,Unknown
2013,22277,White
2014,376,Asian/Pacific Islander
2014,349,Black
2014,102,Native American
2014,987,Other
2014,11902,Unknown
2014,19745,White
2015,391,Asian/Pacific Islander
2015,349,Black
2015,100,Native American
2015,1031,Other
2015,14832,Unknown
2015,21366,White
2016,303,Asian/Pacific Islander
2016,298,Black
2016,81,Native American
2016,990,Other
2016,15916,Unknown
2016,18841,White
2017,361,Asian/Pacific Islander
2017,390,Black
2017,109,Native American
2017,961,Other
2017,17281,Unknown
2017,23641,White
2018,222,Asian/Pacific Islander
2018,248,Black
2018,80,Native American
2018,761,Other
2018,14848,Unknown
2018,17507,White
2019,492,Asian/Pacific Islander
2019,373,Black
2019,92,Native American
2019,572,Other
2019,14815,Unknown
2019,18601,White
2020,132,Asian/Pacific Islander
2020,167,Black
2020,22,Native American
2020,325,Other
2020,7569,Unknown
2020,9785,White
2021,241,Asian/Pacific Islander
2021,247,Black
2021,97,Native American
2021,418,Other
2021,7954,Unknown
2021,15654,White
2022,467,Asian/Pacific Islander
2022,630,Black
2022,146,Native American
2022,1063,Other
2022,27602,Unknown
2022,32520,White
2023,656,Asian/Pacific Islander
2023,902,Black
2023,185,Native American
2023,1544,Other
2023,38970,Unknown
2023,47212,White
