Year,Cases,Onset Month
2010,551,January
2010,440,February
2010,714,March
2010,1160,April
2010,2298,May
2010,6178,June
2010,4534,July
2010,2095,August
2010,1361,September
2010,1249,October
2010,756,November
2010,420,December
2011,450,January
2011,447,February
2011,552,March
2011,810,April
2011,2038,May
2011,6367,June
2011,6259,July
2011,2533,August
2011,1452,September
2011,1335,October
2011,941,November
2011,600,December
2012,740,January
2012,602,February
2012,897,March
2012,1273,April
2012,2472,May
2012,5586,June
2012,4728,July
2012,2184,August
2012,1429,September
2012,1266,October
2012,937,November
2012,565,December
2013,554,January
2013,451,February
2013,471,March
2013,721,April
2013,1723,May
2013,6572,June
2013,8310,July
2013,3558,August
2013,1915,September
2013,1549,October
2013,850,November
2013,433,December
2014,595,January
2014,390,February
2014,538,March
2014,823,April
2014,1990,May
2014,6280,June
2014,6992,July
2014,3064,August
2014,1642,September
2014,1382,October
2014,866,November
2014,432,December
2015,503,January
2015,419,February
2015,493,March
2015,836,April
2015,2083,May
2015,7387,June
2015,7776,July
2015,3007,August
2015,1719,September
2015,1449,October
2015,955,November
2015,565,December
2016,573,January
2016,509,February
2016,780,March
2016,1023,April
2016,2185,May
2016,6667,June
2016,6356,July
2016,2671,August
2016,1619,September
2016,1509,October
2016,1109,November
2016,632,December
2017,775,January
2017,631,February
2017,795,March
2017,1196,April
2017,2808,May
2017,7211,June
2017,7920,July
2017,3437,August
2017,1866,September
2017,1565,October
2017,1088,November
2017,645,December
2018,685,January
2018,539,February
2018,714,March
2018,831,April
2018,2098,May
2018,5590,June
2018,4950,July
2018,2401,August
2018,1535,September
2018,1577,October
2018,840,November
2018,538,December
2019,555,January
2019,425,February
2019,538,March
2019,916,April
2019,2088,May
2019,5103,June
2019,6194,July
2019,3092,August
2019,1680,September
2019,1415,October
2019,778,November
2019,472,December
2020,410,January
2020,296,February
2020,269,March
2020,464,April
2020,1027,May
2020,3143,June
2020,2847,July
2020,1260,August
2020,716,September
2020,686,October
2020,418,November
2020,359,December
2021,320,January
2021,262,February
2021,418,March
2021,655,April
2021,1422,May
2021,4509,June
2021,4970,July
2021,2013,August
2021,1048,September
2021,1038,October
2021,582,November
2021,272,December
2022,61,January
2022,53,February
2022,101,March
2022,128,April
2022,285,May
2022,752,June
2022,666,July
2022,352,August
2022,185,September
2022,143,October
2022,80,November
2022,76,December
2023,74,January
2023,46,February
2023,85,March
2023,116,April
2023,406,May
2023,945,June
2023,1448,July
2023,558,August
2023,229,September
2023,212,October
2023,125,November
2023,65,December
